N;reward
2126;-nan
2127;-nan
2128;-nan
2129;-nan
2130;-nan
2131;-nan
2132;-nan
2133;-nan
2134;-nan
2135;-nan
2136;-nan
2137;-nan
2138;-nan
2139;-nan
2140;-nan
2141;-nan
2142;-nan
2143;-nan
2144;-nan
2145;-nan
2146;-nan
2147;-nan
2148;-nan
2149;-nan
2150;-nan
2151;-nan
2152;-nan
2153;-nan
2154;-nan
2155;-nan
2156;-nan
2157;-nan
2158;-nan
2159;-nan
2160;-nan
2161;-nan
2162;-nan
2163;-nan
2164;-nan
2165;-nan
2166;-nan
2167;-nan
2168;-nan
2169;-nan
2170;-nan
2171;-nan
2172;-nan
2173;-nan
2174;-nan
2175;-nan
2176;-nan
2177;-nan
2178;-nan
2179;-nan
2180;-nan
2181;-nan
2182;-nan
2183;-nan
2184;-nan
2185;-nan
2186;-nan
2187;-nan
2188;-nan
2189;-nan
2190;-nan
2191;-nan
2192;-nan
2193;-nan
2194;-nan
2195;-nan
2196;-nan
2197;-nan
2198;-nan
2199;-nan
2200;-nan
2201;-nan
2202;-nan
2203;-nan
2204;-nan
2205;-nan
2206;-nan
2207;-nan
2208;-nan
2209;-nan
2210;-nan
2211;-nan
2212;-nan
2213;-nan
2214;-nan
2215;-nan
2216;-nan
2217;-nan
2218;-nan
2219;-nan
2220;-nan
2221;-nan
2222;-nan
2223;-nan
2224;-nan
2225;-nan
2226;-nan
2227;-nan
2228;-nan
2229;-nan
2230;-nan
2231;-nan
2232;-nan
2233;-nan
2234;-nan
2235;-nan
2236;-nan
2237;-nan
2238;-nan
2239;-nan
2240;-nan
2241;-nan
2242;-nan
2243;-nan
2244;-nan
2245;-nan
2246;-nan
2247;-nan
2248;-nan
2249;-nan
2250;-nan
2251;-nan
2252;-nan
2253;-nan
2254;-nan
2255;-nan
2256;-nan
2257;-nan
2258;-nan
2259;-nan
2260;-nan
2261;-nan
2262;-nan
2263;-nan
2264;-nan
2265;-nan
2266;-nan
2267;-nan
2268;-nan
2269;-nan
2270;-nan
2271;-nan
2272;-nan
2273;-nan
2274;-nan
2275;-nan
2276;-nan
2277;-nan
2278;-nan
2279;-nan
2280;-nan
2281;-nan
2282;-nan
2283;-nan
2284;-nan
2285;-nan
2286;-nan
2287;-nan
2288;-nan
2289;-nan
2290;-nan
2291;-nan
2292;-nan
2293;-nan
2294;-nan
2295;-nan
2296;-nan
2297;-nan
2298;-nan
2299;-nan
2300;-nan
2301;-nan
2302;-nan
2303;-nan
2304;-nan
2305;-nan
2306;-nan
2307;-nan
2308;-nan
2309;-nan
2310;-nan
2311;-nan
2312;-nan
2313;-nan
2314;-nan
2315;-nan
2316;-nan
2317;-nan
2318;-nan
2319;-nan
2320;-nan
2321;-nan
2322;-nan
2323;-nan
2324;-nan
2325;-nan
2326;-nan
2327;-nan
2328;-nan
2329;-nan
2330;-nan
2331;-nan
2332;-nan
2333;-nan
2334;-nan
2335;-nan
2336;-nan
2337;-nan
2338;-nan
2339;-nan
2340;-nan
2341;-nan
2342;-nan
2343;-nan
2344;-nan
2345;-nan
2346;-nan
2347;-nan
2348;-nan
2349;-nan
2350;-nan
2351;-nan
2352;-nan
2353;-nan
2354;-nan
2355;-nan
2356;-nan
2357;-nan
2358;-nan
2359;-nan
2360;-nan
2361;-nan
2362;-nan
2363;-nan
2364;-nan
2365;-nan
2366;-nan
2367;-nan
2368;-nan
2369;-nan
2370;-nan
2371;-nan
2372;-nan
2373;-nan
2374;-nan
2375;-nan
2376;-nan
2377;-nan
2378;-nan
2379;-nan
2380;-nan
2381;-nan
2382;-nan
2383;-nan
2384;-nan
2385;-nan
2386;-nan
2387;-nan
2388;-nan
2389;-nan
2390;-nan
2391;-nan
2392;-nan
2393;-nan
2394;-nan
2395;-nan
2396;-nan
2397;-nan
2398;-nan
2399;-nan
2400;-nan
2401;-nan
2402;-nan
2403;-nan
2404;-nan
2405;-nan
2406;-nan
2407;-nan
2408;-nan
2409;-nan
2410;-nan
2411;-nan
2412;-nan
2413;-nan
2414;-nan
2415;-nan
2416;-nan
2417;-nan
2418;-nan
2419;-nan
2420;-nan
2421;-nan
2422;-nan
2423;-nan
2424;-nan
2425;-nan
2426;-nan
2427;-nan
2428;-nan
2429;-nan
2430;-nan
2431;-nan
2432;-nan
2433;-nan
2434;-nan
2435;-nan
2436;-nan
2437;-nan
2438;-nan
2439;-nan
2440;-nan
2441;-nan
2442;-nan
2443;-nan
2444;-nan
2445;-nan
2446;-nan
2447;-nan
2448;-nan
2449;-nan
2450;-nan
2451;-nan
2452;-nan
2453;-nan
2454;-nan
2455;-nan
2456;-nan
2457;-nan
2458;-nan
2459;-nan
2460;-nan
2461;-nan
2462;-nan
2463;-nan
2464;-nan
2465;-nan
2466;-nan
2467;-nan
2468;-nan
2469;-nan
2470;-nan
2471;-nan
2472;-nan
2473;-nan
2474;-nan
2475;-nan
2476;-nan
2477;-nan
2478;-nan
2479;-nan
2480;-nan
2481;-nan
2482;-nan
2483;-nan
2484;-nan
2485;-nan
2486;-nan
2487;-nan
2488;-nan
2489;-nan
2490;-nan
2491;-nan
2492;-nan
2493;-nan
2494;-nan
2495;-nan
2496;-nan
2497;-nan
2498;-nan
2499;-nan
2500;-nan
2501;-nan
2502;-nan
2503;-nan
2504;-nan
2505;-nan
2506;-nan
2507;-nan
2508;-nan
2509;-nan
2510;-nan
2511;-nan
2512;-nan
2513;-nan
2514;-nan
2515;-nan
2516;-nan
2517;-nan
2518;-nan
2519;-nan
2520;-nan
2521;-nan
2522;-nan
2523;-nan
2524;-nan
2525;-nan
2526;-nan
2527;-nan
2528;-nan
2529;-nan
2530;-nan
2531;-nan
2532;-nan
2533;-nan
2534;-nan
2535;-nan
2536;-nan
2537;-nan
2538;-nan
2539;-nan
2540;-nan
2541;-nan
2542;-nan
2543;-nan
2544;-nan
2545;-nan
2546;-nan
2547;-nan
2548;-nan
2549;-nan
2550;-nan
2551;-nan
2552;-nan
2553;-nan
2554;-nan
2555;-nan
2556;-nan
2557;-nan
2558;-nan
2559;-nan
2560;-nan
2561;-nan
2562;-nan
2563;-nan
2564;-nan
2565;-nan
2566;-nan
2567;-nan
2568;-nan
2569;-nan
2570;-nan
2571;-nan
2572;-nan
2573;-nan
2574;-nan
2575;-nan
2576;-nan
2577;-nan
2578;-nan
2579;-nan
2580;-nan
2581;-nan
2582;-nan
2583;-nan
2584;-nan
2585;-nan
2586;-nan
2587;-nan
2588;-nan
2589;-nan
2590;-nan
2591;-nan
2592;-nan
2593;-nan
2594;-nan
2595;-nan
2596;-nan
2597;-nan
2598;-nan
2599;-nan
2600;-nan
2601;-nan
2602;-nan
2603;-nan
2604;-nan
2605;-nan
2606;-nan
2607;-nan
2608;-nan
2609;-nan
2610;-nan
2611;-nan
2612;-nan
2613;-nan
2614;-nan
2615;-nan
2616;-nan
2617;-nan
2618;-nan
2619;-nan
2620;-nan
2621;-nan
2622;-nan
2623;-nan
2624;-nan
2625;-nan
2626;-nan
2627;-nan
2628;-nan
2629;-nan
2630;-nan
2631;-nan
2632;-nan
2633;-nan
2634;-nan
2635;-nan
2636;-nan
2637;-nan
2638;-nan
2639;-nan
2640;-nan
2641;-nan
2642;-nan
2643;-nan
2644;-nan
2645;-nan
2646;-nan
2647;-nan
2648;-nan
2649;-nan
2650;-nan
2651;-nan
2652;-nan
2653;-nan
2654;-nan
2655;-nan
2656;-nan
2657;-nan
2658;-nan
2659;-nan
2660;-nan
2661;-nan
2662;-nan
2663;-nan
2664;-nan
2665;-nan
2666;-nan
2667;-nan
2668;-nan
2669;-nan
2670;-nan
2671;-nan
2672;-nan
2673;-nan
2674;-nan
2675;-nan
2676;-nan
2677;-nan
2678;-nan
2679;-nan
2680;-nan
2681;-nan
2682;-nan
2683;-nan
2684;-nan
2685;-nan
2686;-nan
2687;-nan
2688;-nan
2689;-nan
2690;-nan
2691;-nan
2692;-nan
2693;-nan
2694;-nan
2695;-nan
2696;-nan
2697;-nan
2698;-nan
2699;-nan
2700;-nan
2701;-nan
2702;-nan
2703;-nan
2704;-nan
2705;-nan
2706;-nan
2707;-nan
2708;-nan
2709;-nan
2710;-nan
2711;-nan
2712;-nan
2713;-nan
2714;-nan
2715;-nan
2716;-nan
2717;-nan
2718;-nan
2719;-nan
2720;-nan
2721;-nan
2722;-nan
2723;-nan
2724;-nan
2725;-nan
2726;-nan
2727;-nan
2728;-nan
2729;-nan
2730;-nan
2731;-nan
2732;-nan
2733;-nan
2734;-nan
2735;-nan
2736;-nan
2737;-nan
2738;-nan
2739;-nan
2740;-nan
2741;-nan
2742;-nan
2743;-nan
2744;-nan
2745;-nan
2746;-nan
2747;-nan
2748;-nan
2749;-nan
2750;-nan
2751;-nan
2752;-nan
2753;-nan
2754;-nan
2755;-nan
2756;-nan
2757;-nan
2758;-nan
2759;-nan
2760;-nan
2761;-nan
2762;-nan
2763;-nan
2764;-nan
2765;-nan
2766;-nan
2767;-nan
2768;-nan
2769;-nan
2770;-nan
2771;-nan
2772;-nan
2773;-nan
2774;-nan
2775;-nan
2776;-nan
2777;-nan
2778;-nan
2779;-nan
2780;-nan
2781;-nan
2782;-nan
2783;-nan
2784;-nan
2785;-nan
2786;-nan
2787;-nan
2788;-nan
2789;-nan
2790;-nan
2791;-nan
2792;-nan
2793;-nan
2794;-nan
2795;-nan
2796;-nan
2797;-nan
2798;-nan
2799;-nan
2800;-nan
2801;-nan
2802;-nan
2803;-nan
2804;-nan
2805;-nan
2806;-nan
2807;-nan
2808;-nan
2809;-nan
2810;-nan
2811;-nan
2812;-nan
2813;-nan
2814;-nan
2815;-nan
2816;-nan
2817;-nan
2818;-nan
2819;-nan
2820;-nan
2821;-nan
2822;-nan
2823;-nan
2824;-nan
2825;-nan
2826;-nan
2827;-nan
2828;-nan
2829;-nan
2830;-nan
2831;-nan
2832;-nan
2833;-nan
2834;-nan
2835;-nan
2836;-nan
2837;-nan
2838;-nan
2839;-nan
2840;-nan
2841;-nan
2842;-nan
2843;-nan
2844;-nan
2845;-nan
2846;-nan
2847;-nan
2848;-nan
2849;-nan
2850;-nan
2851;-nan
2852;-nan
2853;-nan
2854;-nan
2855;-nan
2856;-nan
2857;-nan
2858;-nan
2859;-nan
2860;-nan
2861;-nan
2862;-nan
2863;-nan
2864;-nan
2865;-nan
2866;-nan
2867;-nan
2868;-nan
2869;-nan
2870;-nan
2871;-nan
2872;-nan
2873;-nan
2874;-nan
2875;-nan
2876;-nan
2877;-nan
2878;-nan
2879;-nan
2880;-nan
2881;-nan
2882;-nan
2883;-nan
2884;-nan
2885;-nan
2886;-nan
2887;-nan
2888;-nan
2889;-nan
2890;-nan
2891;-nan
2892;-nan
2893;-nan
2894;-nan
2895;-nan
2896;-nan
2897;-nan
2898;-nan
2899;-nan
2900;-nan
2901;-nan
2902;-nan
2903;-nan
2904;-nan
2905;-nan
2906;-nan
2907;-nan
2908;-nan
2909;-nan
2910;-nan
2911;-nan
2912;-nan
2913;-nan
2914;-nan
2915;-nan
2916;-nan
2917;-nan
2918;-nan
2919;-nan
2920;-nan
2921;-nan
2922;-nan
2923;-nan
2924;-nan
2925;-nan
2926;-nan
2927;-nan
2928;-nan
2929;-nan
2930;-nan
2931;-nan
2932;-nan
2933;-nan
2934;-nan
2935;-nan
2936;-nan
2937;-nan
2938;-nan
2939;-nan
2940;-nan
2941;-nan
2942;-nan
2943;-nan
2944;-nan
2945;-nan
2946;-nan
2947;-nan
2948;-nan
2949;-nan
2950;-nan
2951;-nan
2952;-nan
2953;-nan
2954;-nan
2955;-nan
2956;-nan
2957;-nan
2958;-nan
2959;-nan
2960;-nan
2961;-nan
2962;-nan
2963;-nan
2964;-nan
2965;-nan
2966;-nan
2967;-nan
2968;-nan
2969;-nan
2970;-nan
2971;-nan
2972;-nan
2973;-nan
2974;-nan
2975;-nan
2976;-nan
2977;-nan
2978;-nan
2979;-nan
2980;-nan
2981;-nan
2982;-nan
2983;-nan
2984;-nan
2985;-nan
2986;-nan
2987;-nan
2988;-nan
2989;-nan
2990;-nan
2991;-nan
2992;-nan
2993;-nan
2994;-nan
2995;-nan
2996;-nan
2997;-nan
2998;-nan
2999;-nan
3000;-nan
3001;-nan
3002;-nan
3003;-nan
3004;-nan
3005;-nan
3006;-nan
3007;-nan
3008;-nan
3009;-nan
3010;-nan
3011;-nan
3012;-nan
3013;-nan
3014;-nan
3015;-nan
3016;-nan
3017;-nan
3018;-nan
3019;-nan
3020;-nan
3021;-nan
3022;-nan
3023;-nan
3024;-nan
3025;-nan
3026;-nan
3027;-nan
3028;-nan
3029;-nan
3030;-nan
3031;-nan
3032;-nan
3033;-nan
3034;-nan
3035;-nan
3036;-nan
3037;-nan
3038;-nan
3039;-nan
3040;-nan
3041;-nan
3042;-nan
3043;-nan
3044;-nan
3045;-nan
3046;-nan
3047;-nan
3048;-nan
3049;-nan
3050;-nan
3051;-nan
3052;-nan
3053;-nan
3054;-nan
3055;-nan
3056;-nan
3057;-nan
3058;-nan
3059;-nan
3060;-nan
3061;-nan
3062;-nan
3063;-nan
3064;-nan
3065;-nan
3066;-nan
3067;-nan
3068;-nan
3069;-nan
3070;-nan
3071;-nan
3072;-nan
3073;-nan
3074;-nan
3075;-nan
3076;-nan
3077;-nan
3078;-nan
3079;-nan
3080;-nan
3081;-nan
3082;-nan
3083;-nan
3084;-nan
3085;-nan
3086;-nan
3087;-nan
3088;-nan
3089;-nan
3090;-nan
3091;-nan
3092;-nan
3093;-nan
3094;-nan
3095;-nan
3096;-nan
3097;-nan
3098;-nan
3099;-nan
3100;-nan
3101;-nan
3102;-nan
3103;-nan
3104;-nan
3105;-nan
3106;-nan
3107;-nan
3108;-nan
3109;-nan
3110;-nan
3111;-nan
3112;-nan
3113;-nan
3114;-nan
3115;-nan
3116;-nan
